INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING
ID	·ÖÀà ID£¨»¥³âÓÃ£©	PRIÓÅÏÈ¼¶	Í¼±êÎÄ¼şÃû	´¥·¢ÌØĞ§ID	´¥·¢ÌØĞ§µÄÒôĞ§ID	´¥·¢ÌØĞ§µÄ°ó¶¨µã	³ÖĞøĞÔÌØĞ§ID	³ÖĞøÌØĞ§µÄÒôĞ§ID	³ÖĞøĞÔÌØĞ§µÄ°ó¶¨µã	ËÀºóÊÇ·ñ±£Áô	ÊÇ·ñ¿ÉÒÔ±»¼¼ÄÜÇıÉ¢	ÊÇ·ñÊÇ¸ºÃæĞ§¹û	ÊÇ·ñ¿ÉÒÔ±»ÊÖ¶¯È¡Ïû	ÊÇ·ñÎªÏßĞÔÌØĞ§	ÏßĞÔÌØĞ§µÄ°ó¶¨µã	Ğ§¹ûËµÃ÷$1$
1	1	0	Buff0_1				g01_buff2		ÉíÌåÊÜ»÷µã	0	1	1	0	0		Tê li®t: liên tøc m¤t máu
2	2	0	Buff0_2				npc_buff_19		ÉíÌåÊÜ»÷µã	0	1	1	0	0		Trúng ğµc: liên tøc m¤t máu
3	3	0	Buff0_3				g01_buff32		ÉíÌåÊÜ»÷µã	0	1	1	0	0		Nguy«n rüA:liên tøc m¤t máu
4	4	0	Buff0_4				g01_buff106		ÉíÌåÊÜ»÷µã	0	1	1	0	0		Thiêu ğ¯t: liên tøc m¤t máu
5	5	0	Buff0_6				g01_buff46_01		ÉíÌåÊÜ»÷µã	0	1	1	0	0		C¡n máu: liên tøc m¤t máu
6	6	0	Buff0_5				npc_buff_19		ÉíÌåÊÜ»÷µã	0	1	1	0	0		Ån mòn: liên tøc m¤t máu
7	7	0	Buff0_5							0	0	1	0	1	ÉíÌåÊÜ»÷µã	Tiªt khí: liên tøc giäm khí
8	8	0	Buff0_6							0	0	1	0	1	ÉíÌåÊÜ»÷µã	An phü: liên tøc giäm cß¶ng lñc
9	9	0	Medicine2_5							0	0	0	1	0		H°i máu: liên tøc h°i máu
10	10	0	Medicine2_6							0	0	0	1	0		H°i khí: liên tøc h°i khí
11	11	0	Buff0_7		Skills\Common\rock_huge_1.wav		g01_buff12		½ÅÏÂ¹âÈ¦µã	0	1	1	0	0		Vây ch£t: không th¬ di chuy¬n, không th¬ thao tác, không th¬ b¸ công kích
12	12	0	Buff0_8							0	1	1	0	0		ThÕch hoá: không th¬ di chuy¬n, không th¬ thao tác, không th¬ b¸ công kích
13	13	0	Buff0_9	all_bj0000		ÉíÌåÊÜ»÷µã	buff_fengxue_01		ÉíÌåÊÜ»÷µã	0	1	1	0	0		Phong huy®t: Không th¬ di chuy¬n, không th¬ thao tác, có th¬ b¸ công kích, không có cách gì ğánh tïnh
14	14	0	Buff0_10				npc_buff_02		Í·¶¥×´Ì¬µã	0	1	1	0	0		Ma tí: Không th¬ di chuy¬n, không th¬ thao tác, có th¬ b¸ công kích, không có cách gì ğánh tïnh
15	15	0	Buff0_11				buff_hunmi_01		Í·¶¥×´Ì¬µã	0	1	1	0	0		Hôn mê: Không th¬ di chuy¬n, không th¬ thao tác, có th¬ b¸ công kích, có th¬ ğßşc ğánh tïnh
16	16	0	Buff0_12				g01_buff38		Í·¶¥×´Ì¬µã	0	1	1	0	0		Th¤t h°n: Không th¬ di chuy¬n ğßşc, không th¬ thao tác, có th¬ b¸ công kích, có th¬ ğßşc ğánh tïnh
17	17	0	Buff0_13				g01_em_buff38		Í·¶¥×´Ì¬µã	0	1	1	0	0		Th¤t minh: Di chuy¬n tuÏ c½, không th¬ thao tác, có th¬ b¸ công kích, không có cách gì ğánh tïnh
18	18	0	Buff0_14		Skills\Common\fear_1.wav		npc_buff_07		Í·¶¥×´Ì¬µã	0	1	1	0	0		Sş hãi: Di chuy¬n tuÏ c½, không th¬ thao tác, có th¬ b¸ công kích, không có cách gì ğánh tïnh
19	19	0	Buff0_15		Skills\Sl\Sl_½ğ¸Õ·üÄ§È¦_¶¨Éí.wav		g01_buff27		½ÅÏÂ¹âÈ¦µã	0	1	1	0	0		Ğ¸nh Thân: trong trÕng thái ğ¸nh thân có th¬ b¸ công kích, và không th¬ di chuy¬n
20	20	0	Buff0_15				npc_buff_09		½ÅÏÂ¹âÈ¦µã	0	1	1	0	0		Chèn ch£n: Không cách gì di chuy¬n
21	21	0	Buff0_16				buff_sangong_01		½ÅÏÂ¹âÈ¦µã	0	1	1	0	0		Tán công: không có cách gì có th¬ sØ døng b¤t kì kÛ nång nào cüa môn phái
22	22	0	Buff0_16				g01_buff34		Í·¶¥×´Ì¬µã	0	1	1	0	0		Tñu c¥m: không có cách gì có th¬ sØ døng b¤t kì kÛ nång nào cüa môn phái
23	23	0	Buff1_1	g01_yanggetianjun		ÉíÌåÊÜ»÷µã	g01_buff100		½ÅÏÂ¹âÈ¦µã	0	1	1	0	0		Cß½ng nghÕnh: T¯c ğµ di chuy¬n ch§m
24	24	0	Buff1_2							0	1	1	0	0		Phá trán: Giäm công kích
25	25	0	Buff1_3							0	1	1	0	0		Phá trán: Giäm phòng ngñ
26	26	0	Buff1_4							0	1	1	0	0		Phá trán: Giäm công kích và phòng ngñ
27	27	0	Buff1_4							0	1	1	0	0		Phá trán: Giäm tính nång kháng v¯n có
28	28	0	Buff1_4	g01_geanguanhuo		ÉíÌåÊÜ»÷µã				0	1	1	0	0		Phá trán: Giäm ngoÕi thü
29	29	0	Buff1_4							0	1	1	0	0		Phá trán: Giäm nµi thü
