INT	INT	INT	INT	STRING	INT	STRING	STRING
ID(╣щтЖ)	CLASS	LEVEL	╡шн╩ё╗н╢й╣ожё╘	Ёф╨её╗очЁ╓20cАiCHARё╘$1$	спп╖фзё╗п║й╠ё╛н╢й╣ожё╘	COLOR	цХйЖ$1$
0	0	1	-1	лЛLinh ThЗ	-1	#e195e1a#c72d27c	[ря╥офЗ]уДйчЁУ╪╤нРптЁф╨е#rлЛсЫж╝о╒ё╛П╗П╗й╔Linh║ё
1	0	2	-1	лЛLinh ThЗ	-1	#e195e1a#c72d27c	[ря╥офЗ]уДйчЁУ╪╤нРптЁф╨е#rлЛсЫж╝о╒ё╛П╗П╗й╔Linh║ё
2	0	3	-1	лЛLinh ThЗ	-1	#e195e1a#c72d27c	[ря╥офЗ]уДйчЁУ╪╤нРптЁф╨е#rлЛсЫж╝о╒ё╛П╗П╗й╔Linh║ё
3	0	4	-1	лЛLinh ThЗ	-1	#e195e1a#c72d27c	[ря╥офЗ]уДйчЁУ╪╤нРптЁф╨е#rлЛсЫж╝о╒ё╛П╗П╗й╔Linh║ё
4	0	5	-1	лЛLinh ThЗ	-1	#e195e1a#c72d27c	[ря╥офЗ]уДйчЁУ╪╤нРптЁф╨е#rлЛсЫж╝о╒ё╛П╗П╗й╔Linh║ё
5	0	6	-1	лЛLinh ThЗ	-1	#e195e1a#c72d27c	[ря╥офЗ]уДйчЁУ╪╤нРптЁф╨е#rлЛсЫж╝о╒ё╛П╗П╗й╔Linh║ё
6	0	7	-1	иЯйиоийч	-1	#ebb3e9f#cfd94b0	[ря╥офЗ]уДйч╦ъ╪╤нРптЁф╨е#rй╔оЖ╬╙╨Хё╛ои╩Й╠с╩╓║ё
7	0	8	-1	иЯйиоийч	-1	#ebb3e9f#cfd94b0	[ря╥офЗ]уДйч╦ъ╪╤нРптЁф╨е#rй╔оЖ╬╙╨Хё╛ои╩Й╠с╩╓║ё
8	0	9	-1	иЯйиоийч	-1	#ebb3e9f#cfd94b0	[ря╥офЗ]уДйч╦ъ╪╤нРптЁф╨е#rй╔оЖ╬╙╨Хё╛ои╩Й╠с╩╓║ё
9	0	10	-1	иЯйиоийч	-1	#ebb3e9f#cfd94b0	[ря╥офЗ]уДйч╦ъ╪╤нРптЁф╨е#rй╔оЖ╬╙╨Хё╛ои╩Й╠с╩╓║ё
10	1	0	-1	╥ГLinh ThЗ	-1	#e195e1a#c72d27c	[ря╥офЗ]уДйчЁУ╪╤вйжйЁф╨е#rне╥Г╤Ьппё╛пдспLinhо╛║ё
11	1	1	-1	╥ГLinh ThЗ	-1	#e195e1a#c72d27c	[ря╥офЗ]уДйчЁУ╪╤вйжйЁф╨е#rне╥Г╤Ьппё╛пдспLinhо╛║ё
12	1	2	-1	╥ГLinh ThЗ	-1	#e195e1a#c72d27c	[ря╥офЗ]уДйчЁУ╪╤вйжйЁф╨е#rне╥Г╤Ьппё╛пдспLinhо╛║ё
13	1	3	-1	╥ГLinh ThЗ	-1	#e195e1a#c72d27c	[ря╥офЗ]уДйчЁУ╪╤вйжйЁф╨е#rне╥Г╤Ьппё╛пдспLinhо╛║ё
14	1	4	-1	╥ГLinh ThЗ	-1	#e195e1a#c72d27c	[ря╥офЗ]уДйчЁУ╪╤вйжйЁф╨е#rне╥Г╤Ьппё╛пдспLinhо╛║ё
15	1	5	-1	╥ГLinh ThЗ	-1	#e195e1a#c72d27c	[ря╥офЗ]уДйчЁУ╪╤вйжйЁф╨е#rне╥Г╤Ьппё╛пдспLinhо╛║ё
16	1	6	-1	тф╩диЯйч	-1	#ebb3e9f#cfd94b0	[ря╥офЗ]уДйч╦ъ╪╤вйжйЁф╨е#rлзтфф╝цЛё╛╟к╩дж╝иЯ║ё
17	1	7	-1	тф╩диЯйч	-1	#ebb3e9f#cfd94b0	[ря╥офЗ]уДйч╦ъ╪╤вйжйЁф╨е#rлзтфф╝цЛё╛╟к╩дж╝иЯ║ё
18	1	8	-1	тф╩диЯйч	-1	#ebb3e9f#cfd94b0	[ря╥офЗ]уДйч╦ъ╪╤вйжйЁф╨е#rлзтфф╝цЛё╛╟к╩дж╝иЯ║ё
19	1	9	-1	тф╩диЯйч	-1	#ebb3e9f#cfd94b0	[ря╥офЗ]уДйч╦ъ╪╤вйжйЁф╨е#rлзтфф╝цЛё╛╟к╩дж╝иЯ║ё
20	2	1	-1	╣ьLinh ThЗ	-1	#e195e1a#c72d27c	[ря╥офЗ]уДйчЁУ╪╤ЁиЁ╓бйЁф╨е#r╣ь╡ь╢х╠╞ё╛╢©Linhж╝иф║ё
21	2	2	-1	╣ьLinh ThЗ	-1	#e195e1a#c72d27c	[ря╥офЗ]уДйчЁУ╪╤ЁиЁ╓бйЁф╨е#r╣ь╡ь╢х╠╞ё╛╢©Linhж╝иф║ё
22	2	3	-1	╣ьLinh ThЗ	-1	#e195e1a#c72d27c	[ря╥офЗ]уДйчЁУ╪╤ЁиЁ╓бйЁф╨е#r╣ь╡ь╢х╠╞ё╛╢©Linhж╝иф║ё
23	2	4	-1	иЯИДоийч	-1	#ebb3e9f#cfd94b0	[ря╥офЗ]уДйч╦ъ╪╤ЁиЁ╓бйЁф╨е#r╡тЯ╥╬ефгё╛иЯ╢мж╝йч║ё
24	2	5	-1	иЯИДоийч	-1	#ebb3e9f#cfd94b0	[ря╥офЗ]уДйч╦ъ╪╤ЁиЁ╓бйЁф╨е#r╡тЯ╥╬ефгё╛иЯ╢мж╝йч║ё
100001	3	100	-1	Linh ThЗ	-1	#e195e1a#c72d27c	#Yвйжй#Gв©╤Ш╡╩х╨#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100002	3	200	-1	й╔йч	-1	#e195e1a#c72d27c	#Yвйжй#GЁ╛╥╡мякв#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100003	3	300	-1	оийч	-1	#e195e1a#c72d27c	#Yвйжй#GлЛобнчк╚#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100004	3	400	-1	иЯйч	-1	#ebb3e9f#cfd94b0	#Yвйжй#GуП╧ек╦╫Я#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100010	3	111	-1	╣ьйч	-1	#e195e1a#c72d27c	#YЁиЁ╓#Gв©╤Ш╡╩х╨#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100011	3	211	-1	╣ьLinh ThЗ	-1	#e195e1a#c72d27c	#YЁиЁ╓║╒вйжй#Gв©╤Ш╡╩х╨#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100012	3	311	-1	╣ьй╔йч	-1	#e195e1a#c72d27c	#YЁиЁ╓#Gв©╤Ш╡╩х╨#Yё╛вйжй#GЁ╛╥╡мякв#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100013	3	411	-1	╣ьоийч	-1	#ebb3e9f#cfd94b0	#YЁиЁ╓#Gв©╤Ш╡╩х╨#Yё╛вйжй#GлЛобнчк╚#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100014	3	511	-1	╣ьиЯйч	-1	#ebb3e9f#cfd94b0	#YЁиЁ╓#Gв©╤Ш╡╩х╨#Yё╛вйжй#GуП╧ек╦╫Я#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100020	3	222	-1	лЛйч	-1	#e195e1a#c72d27c	#YЁиЁ╓#GЁ╛╥╡мякв#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100021	3	322	-1	лЛLinh ThЗ	-1	#e195e1a#c72d27c	#YЁиЁ╓#GЁ╛╥╡мякв#Yё╛вйжй#Gв©╤Ш╡╩х╨#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100022	3	422	-1	лЛй╔йч	-1	#ebb3e9f#cfd94b0	#YЁиЁ╓║╒вйжй#GЁ╛╥╡мякв#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100023	3	522	-1	лЛоийч	-1	#ebb3e9f#cfd94b0	#YЁиЁ╓#GЁ╛╥╡мякв#Yё╛вйжй#GлЛобнчк╚#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100024	3	622	-1	лЛиЯйч	-1	#e96491f#gFF0FA0	#YЁиЁ╓#GЁ╛╥╡мякв#Yё╛вйжй#GуП╧ек╦╫Я#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100030	3	333	-1	т╙йч	-1	#e195e1a#c72d27c	#YЁиЁ╓#GлЛобнчк╚#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100031	3	433	-1	т╙Linh ThЗ	-1	#ebb3e9f#cfd94b0	#YЁиЁ╓#GлЛобнчк╚#Yё╛вйжй#Gв©╤Ш╡╩х╨#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100032	3	533	-1	т╙й╔йч	-1	#ebb3e9f#cfd94b0	#YЁиЁ╓#GлЛобнчк╚#Yё╛вйжй#GЁ╛╥╡мякв#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100033	3	633	-1	т╙оийч	-1	#e96491f#gFF0FA0	#YЁиЁ╓║╒вйжй#GлЛобнчк╚#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100034	3	733	-1	т╙иЯйч	-1	#e96491f#gFF0FA0	#YЁиЁ╓#GлЛобнчк╚#Yё╛вйжй#GуП╧ек╦╫Я#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100040	3	444	-1	Ё╛йч	-1	#ebb3e9f#cfd94b0	#YЁиЁ╓#GуП╧ек╦╫Я#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100041	3	544	-1	Ё╛Linh ThЗ	-1	#ebb3e9f#cfd94b0	#YЁиЁ╓#GуП╧ек╦╫Я#Yё╛вйжй#Gв©╤Ш╡╩х╨#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100042	3	644	-1	Ё╛й╔йч	-1	#e96491f#gFF0FA0	#YЁиЁ╓#GуП╧ек╦╫Я#Yё╛вйжй#GЁ╛╥╡мякв#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100043	3	744	-1	Ё╛оийч	-1	#e96491f#gFF0FA0	#YЁиЁ╓#GуП╧ек╦╫Я#Yё╛вйжй#GлЛобнчк╚#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100044	3	844	-1	Ё╛иЯйч	-1	#e96491f#gFF0FA0	#YЁиЁ╓║╒вйжй#GуП╧ек╦╫Я#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100100	3	210	-1	Ё╓иЗйч	-1	#e195e1a#c72d27c	#YнРпт#Gв©╤Ш╡╩х╨#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
