INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT
ID	????ID	?????????$1$	????(FOR TIP)$1$	????(FOR Interface)$1$	????ID	????	????(ms)	????(ms)	?????????	???????	????????	????????	?????????	???????	????????	????????	?????????	???????	????????	????????	????	??	??	????	???	????	???	????	???	????	???	????	???	????	???	????	???	????	???	????	???	????	???	????	???	????	???
0	0	????	#c54FF00??????????#r#cFFFFFF?????0-2?#r????#r#c5BC257??????	#c54FF00??????????#r#cFFFFFF?????0-2?#r????#r#c5BC257??????#r??????????	0	800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|?????????1	0	|?????????1	-1	|?????????2	-1	|?????????2	-1												-1				
1	0	??	#c54FF00??????????#r#cFFFFFF?????0-8?#r?????15?#r???? ???????????????????????	#c54FF00??????????#r#cFFFFFF?????0-8?#r?????15?#r???? ???????????????????????	10	1300	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			?????????1	100																		-1				
2	0	????	????	????	11	1300	2500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			?																			-1				
3	0	??	??	??	641	1300	3000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			??????	-1	??????	169																				
21	0	??????	??????????????????#c54FF00??????????#r#c5BC257??????	??????????????????#c54FF00??????????#r#c5BC257??????	14	3000	3000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			????buff???ID	66																						
22	0	??	#c54FF00??????????#r#cFFFFFF????#r?????40??	#c54FF00??????????#r#cFFFFFF????#r?????40??	16	5000	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			??????	22	??????????????	40002109	??????????????	40002000	??????????????	-1	??????????????	-1	??????????????	-1	??????????????	-1	??????????????	-1	??????????????	-1						
23	0	??	????#r?????0?15?#r?????5?	????#r?????0?15?#r?????5?	15	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1																										
24	0	??	????#r?????0?15?#r?????5?	????#r?????0?15?#r?????5?	15	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1																										
25	0	??	????#r?????0?15?#r?????5?	????#r?????0?15?#r?????5?	15	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1																										
26	0	??	????#r?????0?15?#r?????5?	????#r?????0?15?#r?????5?	15	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1																										
