INT	STRING
ID	×Ö·û´®$1$
0	Các hÕ ğã b¸ %s giªt chªt
1	Các hÕ giªt chªt %s, vì h¡n giªt ngß¶i quá nhi«u, chu¯c l¤y sñ tr×ng phÕt. Trang b¸ trên ngß¶i h¡n b¸ r½i · g¥n ğây, chú ı tìm kiªm!
2	@*;SrvMsg;GLD:Thß½ng nhân b±n bang #{_INFOUSR%s} trong lúc làm nhi®m vø Thß½ng nhân, không may b¸#{_INFOUSR%s} ngß¶i cüa bang hµi #G[%s]#Wcß¾p giªt, s¯ ti«n#{_MONEY%d} cüa ngân phiªu và s¯ thß½ng ph¦m ğ«u b¸ m¤t, th§t khiªn ngß¶i ta khó ch¸u.
3	@*;SrvMsg;GLD:Thß½ng nhân cüa b±n bang #{_INFOUSR%s} trong lúc tiªn thành nhi®m vø thß½ng nhân, không may b¸ #{_INFOUSR%s} giªt. Giá tr¸ ngân phiªu và thß½ng ph¦m cüa #{_MONEY%d} ğã m¤t, 
4	Không rõ t× ğâu công kích, các hÕ hi®n trong trÕng thái phòng v®!
5	V§t ph¦m ğã b¸ khóa, không th¬ giám ğ¸nh
6	Quay lÕi bäng mua s¡m
7	Tay näi
8	Ğang m®t, không th¬ nh§n nhi®m vø
9	Các hÕ ğã gØi l¶i quyªt ğ¤u, ch¶ ğ¯i phß½ng h°i âm
10	#RKhi giá tr¸ sát khí l¾n h½n ho£c b¢ng 10 s¨ b¸ bÑc vào ĞÕi Lao
11	Nh¸
12	Tam
13	B¯n
14	Nåm
15	Sáu
16	Chi 
17	Công nång cüa nhân v§t ğã h°i phøc, ğ« ngh¸ tñ giác tuân thü quy t¡c trò ch½i, chúc các hÕ vui vë.
18	#YR¤t xin l²i phäi thông báo v¾i các hÕ! B·i vì %s cüa các hÕ là #B[%s]#Y ğã quá th¶i hÕn nên b¸ h® th¯ng xóa bö.
19	Trong bao ğÕo cø
20	Trong bao tài li®u
21	Trên ngß¶i
22	Trong ngân hàng
23	Máy chü không phän h°i thông tin
24	Máy chü ğã ğ¥y
25	Các hÕ ğang chuy¬n ğªn 
26	Các hÕ c¥n phäi di chuy¬n m¾i chuy¬n ğßşc
27	Các hÕ ğang sØ døng chß½ng trình ngoài, không th¬ v§n chuy¬n toàn cänh!
28	Các hÕ b¸ hÕng chª tñ do, không th¬ v§n chuy¬n, %d phút sau h°i phøc!
29	Không th¬ sØ døng møc tiêu tình hu¯ng
30	Không th¬ sØ døng møc tiêu thành th¸ 
31	Lßşng ngß¶i · máy chü ğã ğ¥y
32	SÑc ch¸u ğñng cüa máy chü quá cao
