WLRetCharLoginHandler:acc=1,charguid=3C3360A2 ,DbCrc=178912743,BinCrc=178912743 load fulluser from db  (-321848512)(T0=2016-4-1_5:45:48 T1=153.0450)
WLRetCharLoginHandler:acc=1,charguid=3C3360A2 ,DbCrc=811079979,BinCrc=811079979 load fulluser from db  (-321848512)(T0=2016-4-1_7:33:39 T1=6623.6830)
WLRetCharLoginHandler:acc=2,charguid=3C3360A3 ,DbCrc=178912729,BinCrc=178912729 load fulluser from db  (-321848512)(T0=2016-4-1_7:34:28 T1=6672.5140)
WLRetCharLoginHandler:acc=2,charguid=3C3360A3 ,DbCrc=390357694,BinCrc=390357694 load fulluser from db  (-321848512)(T0=2016-4-1_7:42:19 T1=7143.9870)
WLRetCharLoginHandler:acc=2,charguid=3C3360A3 ,DbCrc=390357694,BinCrc=390357694 load fulluser from db  (-321848512)(T0=2016-4-1_7:56:41 T1=8005.6850)
WLRetCharLoginHandler:acc=1,charguid=3C3360A2 ,DbCrc=811079979,BinCrc=811079979 load fulluser from db  (-321848512)(T0=2016-4-1_7:59:59 T1=8203.5990)
WLRetCharLoginHandler:acc=2,charguid=3C3360A3 ,DbCrc=390357694,BinCrc=390357694 load fulluser from db  (-321848512)(T0=2016-4-1_8:0:6 T1=8211.0040)
WLRetCharLoginHandler:acc=1,charguid=3C3360A2 ,DbCrc=811079979,BinCrc=811079979 load fulluser from db  (-321848512)(T0=2016-4-1_8:11:7 T1=8871.5830)
WLRetCharLoginHandler:acc=1,charguid=3C3360A2 ,DbCrc=1598218731,BinCrc=1598218731 load fulluser from db  (-321848512)(T0=2016-4-1_8:19:11 T1=9356.0630)
WLRetCharLoginHandler:acc=1,charguid=3C3360A2 ,DbCrc=-1305203150,BinCrc=-1305203150 load fulluser from db  (-321848512)(T0=2016-4-1_8:38:13 T1=10497.9330)
WLRetCharLoginHandler:acc=1,charguid=3C3360A2 ,DbCrc=-1257155302,BinCrc=-1257155302 load fulluser from db  (-321848512)(T0=2016-4-1_8:51:9 T1=11273.1830)
WLRetCharLoginHandler:acc=1,charguid=3C3360A2 ,DbCrc=-1257155302,BinCrc=-1257155302 load fulluser from db  (-321848512)(T0=2016-4-1_8:54:57 T1=11501.3140)
WLRetCharLoginHandler:acc=1,charguid=3C3360A2 ,DbCrc=-1257155302,BinCrc=-1257155302 load fulluser from db  (-321848512)(T0=2016-4-1_8:58:41 T1=11725.8500)
WLRetCharLoginHandler:acc=1,charguid=3C3360A2 ,DbCrc=-1257155302,BinCrc=-1257155302 load fulluser from db  (-321848512)(T0=2016-4-1_9:1:51 T1=11915.1610)
WLRetCharLoginHandler:acc=1,charguid=3C3360A2 ,DbCrc=-1257155302,BinCrc=-1257155302 load fulluser from db  (-321848512)(T0=2016-4-1_9:5:36 T1=12140.6910)
WLRetCharLoginHandler:acc=1,charguid=3C3360A2 ,DbCrc=-1029945986,BinCrc=-1029945986 load fulluser from db  (-321848512)(T0=2016-4-1_9:11:16 T1=12480.8890)
WLRetCharLoginHandler:acc=1,charguid=3C3360A2 ,DbCrc=-1029945986,BinCrc=-1029945986 load fulluser from db  (-321848512)(T0=2016-4-1_9:13:41 T1=12625.7730)
