PetRuler::BuildPetDetailAttrib...BEGIN : uHumanGUID=3c3360a2, pOutPetDB=-578826752, nPetAttrID=3159, nPetLevel=1, nRuler=1! (-578815166)(T0=2016-4-1_8:22:3 T1=9532.7520)
PetRuler::BuildPetDetailAttrib...END (-578815166)(T0=2016-4-1_8:22:3 T1=9532.7520)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:11, SceneID:2, XPos:215.32, ZPos:153.06, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:19, Con:9, Dex:18, Spr:17, Int:12, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:0, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:1 (-578815166)(T0=2016-4-1_8:22:3 T1=9532.7520)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:2, XPos:214.32, ZPos:153.06, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:20, Con:10, Dex:19, Spr:18, Int:13, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:5, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:2 (-578815166)(T0=2016-4-1_8:22:11 T1=9540.7840)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:2, XPos:214.32, ZPos:153.06, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:21, Con:11, Dex:20, Spr:19, Int:14, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:10, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:3 (-578815166)(T0=2016-4-1_8:22:11 T1=9540.7840)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:2, XPos:214.32, ZPos:153.06, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:22, Con:12, Dex:21, Spr:20, Int:15, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:15, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:4 (-578815166)(T0=2016-4-1_8:22:11 T1=9540.7840)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:2, XPos:214.32, ZPos:153.06, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:23, Con:13, Dex:22, Spr:21, Int:16, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:20, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:5 (-578815166)(T0=2016-4-1_8:22:11 T1=9540.7840)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:2, XPos:214.32, ZPos:153.06, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:24, Con:14, Dex:23, Spr:22, Int:17, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:25, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:6 (-578815166)(T0=2016-4-1_8:22:11 T1=9540.7840)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:2, XPos:214.32, ZPos:153.06, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:25, Con:15, Dex:24, Spr:23, Int:18, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:30, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:7 (-578815166)(T0=2016-4-1_8:22:11 T1=9540.7840)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:2, XPos:214.32, ZPos:153.06, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:26, Con:16, Dex:25, Spr:24, Int:19, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:35, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:8 (-578815166)(T0=2016-4-1_8:22:11 T1=9540.7840)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:2, XPos:214.32, ZPos:153.06, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:27, Con:17, Dex:26, Spr:25, Int:20, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:40, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:9 (-578815166)(T0=2016-4-1_8:22:11 T1=9540.7840)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:2, XPos:214.32, ZPos:153.06, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:28, Con:18, Dex:27, Spr:26, Int:21, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:45, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:10 (-578815166)(T0=2016-4-1_8:22:11 T1=9540.7840)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:2, XPos:214.32, ZPos:153.06, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:29, Con:19, Dex:28, Spr:27, Int:22, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:50, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:11 (-578815166)(T0=2016-4-1_8:22:11 T1=9540.7840)
